疾病名,英文病名,科別,器官,簡介,症狀,預防和治療
口瘡  ,"Aphthous ulcer,Canker Sore","家醫科,耳鼻喉科,牙科,風濕過敏免疫科",口腔,口瘡即俗稱的嘴破，是一種很普遍的口腔內黏膜疾病，患部可見於口腔內各處黏膜，諸如唇、頰內、舌、牙齦等，一開始是圓點型的紅腫，很快就發展成潰瘍瘡，表面凹下呈白色，周圍充血，略滲體液，有時潰瘍成簇冒發，因傷口開放，表皮神經裸露在外，因此對口中的各種刺激物很敏感，碰觸均會引來灼熱或疼痛若嚴重到影響進食和交談，可用口內膏、抗菌漱口水或止痛藥來舒緩症狀。口瘡一般約七天左右可痊癒，根本治療還是需靠飲食及調整作息來改善，否則容易一再復發，若持續三週以上都還沒好，就要注意可能是身體免疫失調的前兆。有些自體免疫疾病，如紅斑性狼瘡，一開始也會有口腔潰瘍的症狀，如果還合併了眼睛、生殖器等其他地方的潰瘍，便可能是罹患貝歇氏病。類似的還有口腔扁平苔癬症，病灶除了在口腔裡，也會出現在皮膚上，口內潰瘍可長達五年甚至終生。另外還有感冒皰瘡，皰瘡是發生在口外而非口內。以上均容易和口瘡混淆，看診時最好詳細告知病史讓醫師了解，包含發病時間、頻率、持續多久、是否有其他患部出現病症等，以利對症下藥。,['唇破．舌破．頰內潰爛．牙齦紅腫．進食痛．灼熱感．口乾舌燥'],改變生活型態，適當紓解壓力，放鬆心情，避免過度勞倦和緊張。
,,,,,,
口臭  ,Halitosis,"家醫科,牙科,胃腸肝膽科",口腔,口臭指的是從口內散發出難聞氣味的一種症狀，反映身體有某方面的問題需要探究，臨床氣味可能因此而不同：●單純性口腔問題口臭，聞起來偏酸，類似硫化物的氣味，由口腔疾病引起，如齲齒、牙周病、牙齦發炎。本類型的口臭除口腔明顯有異味外，還可伴隨牙齦腫、痛、局部發熱等症狀。●疾病型口臭，臨床表現除嘴臭外，可能出現其他部位的局部不適，如胸悶、腹脹、頻尿、便祕等。若聞起來像臭雞蛋，可能罹患胃潰瘍；若如魚腥味，可為肝功能不佳或肝硬化；酸蘋果味道則是腎功能不佳；腎衰竭患者則偏尿騷味或阿摩尼亞味；如腐敗水果味，可能為糖尿病酮酸症；呼吸道感染則近似乾乳酪發酵的味道；而與血液腐敗味道有關的，可為白血病或其他血液疾病。●心因性口臭，氣味較病理性口臭不同，偏苦、澀，多在情緒壓力大、緊張焦慮、失眠的時候出現，如伴隨其他心因性消化道問題，則會帶有酸味。目前診間常用口氣測量儀來診斷，由受測者口中真空抽取氣體，客觀的測量揮發性硫化物（引發異味的主要物質）濃度多寡，超過160ppb就表示有口臭；亦可透過自我測量方式：將手掌合攏包住口鼻朝裡面呼氣，用鼻子吸氣來判斷。而處理口臭問題務必探究來源病因加以治療，才能改善。,['嘴臭．嘴苦．口乾舌燥．髮乾．牙齦腫痛．發燒．舌苔．腸胃脹氣．消化不良．胸悶．便祕．頻尿．胃痛．煩躁．失眠．疲倦'],如果為疾病方面引起的口臭，先要積極治療其原發病。針對特定的口腔疾病、呼吸系統、消化系統、新陳代謝等問題，進行相應的治療，如此口臭的狀況就能獲得緩解。
,,,,,,
乾眼症  ,"Xerophthalmia,Dry eye syndrome",眼科,眼,乾眼症指淚液分泌不足，或淚液過度蒸發，使眼球表面無法保持濕潤，造成結膜異常的慢性眼疾。,['視力模糊．異物感．敏感怕光．想流淚．眼睛易疲勞．眼睛睜不開．很想閉眼睛．覺得眼壓高．眼睛脹脹感．頭痛．眼睛紅'],每天至少熱敷眼睛一次，以乾淨的毛巾沾熱水（約洗澡水般的溫度即可），雙眼輕輕閉上，將沾濕的熱毛巾蓋在雙眼上以促進淚腺周圍的血液循環。
,,,,,,
急性結膜炎  ,acute conjunctivitis,眼科,眼,急性結膜炎俗稱為「紅眼症」，主要是因為眼睛結膜受到感染導致急性發炎所致。,['流眼淚．眼睛癢．紅眼．分泌物多．畏光．眼睛痛'],游泳請選擇消毒衛生、清潔完善的游泳池或水上樂園。
,,,,,,
黃斑部病變  ,"age-related macular degeneration,AMD",眼科,眼,黃斑部病變是常見的眼部疾病之一，也是老年人頭號視力殺手。黃斑部位在視網膜中間，決定影像成形的形狀、顏色、亮度。黃斑部病變會影響視覺、嚴重時可能導致失明。,['影像扭曲．視力模糊'],多吃綠色蔬果及魚類，補充葉黃素與omega-3。
,,,,,,
飛蚊症  ,"Floater,Vitreous opacity",眼科,眼,正常的玻璃體在眼球內是種狀似蛋白的清澈膠質物，但在40歲以後，眼睛中的玻璃體易發生水化現象，並出現極細的凝結物投影在視網膜上，當眼睛注視白色背景物時，光線則將這些纖維的影像投射在視網膜上，因為飄忽不定，便形成蚊子好像在身旁飛繞的情形。它的形狀有時似圓有時又是點，甚或一條條線出現也說不定，沒有固定的形狀，且當眼珠左右轉動時，小黑點也會跟著飛動，而當眼球轉動過度，玻璃體拉扯到視網膜時，也會有閃電（flashing lights）出現的感覺，這即是俗稱的飛蚊症。大部分的飛蚊症是年紀老化的一種現象，但也常發生在近視的年輕患者身上，倘若沒有明顯變化時可以不必理會，但若某天忽然發現飛蚊數量遽增，或看見類似閃光出現，或有視力模糊，視野缺損的問題，就應儘早找眼科醫師作詳細的眼底檢查。玻璃體混濁的飛蚊症本身是對人體無害的，只要每4個月請眼科醫師追蹤檢查眼底即可，有些飛蚊時間久了，會慢慢消失或沉澱，不再成像在視網膜上干擾視覺。,['眼前出現黑點．視力干擾．偶有出現閃電的感覺'],由於飛蚊症是許多眼疾的指標或徵兆，因此預防飛蚊症通常也能防這些眼疾發作，一般包括避免過度用力（例如搬重物或用力排便）、打噴嚏過猛、避免熬夜或睡眠不足，或是過度用眼等。
,,,,,,
中耳炎  ,"tympanitis,otitis media",耳鼻喉科,耳,中耳炎是中耳部位受到細菌或病毒感染造成，中耳炎是上呼吸道感染常見併發症，也是造成兒童聽力受損的主要原因。,['耳痛．耳鳴．鼻塞．發燒．聽力減退'],擤鼻涕時，先壓住一側鼻孔，再將另一側鼻腔內的鼻涕擤出後，用同樣方式，再將另一側鼻孔的鼻涕擤出。
,,,,,,
梅尼爾氏症  ,Meniere's disease,耳鼻喉科,耳,梅尼爾氏症是內耳淋巴水腫，引起平衡失調的疾病。患者通常會同時出現耳鳴、眩暈、聽力障礙三種症狀。此症常會反覆發作，頻率愈來愈密集，會感到天旋地轉、噁心嘔吐，影響生活品質。,['耳塞．眩暈．耳鳴．重聽．噁心．嘔吐'],避免菸酒及食用含有咖啡因的食品，如濃茶、咖啡、巧克力……等。
,,,,,,
鼻竇炎  ,Sinusitis,耳鼻喉科,鼻,鼻竇是頭部充滿空氣的空腔，共有四對，分別是額竇、篩竇、上頷竇及蝶竇，具有產生聲音共鳴、換氣及減輕頭部重量等功用。鼻竇炎則是指空腔中的黏膜腫脹及發炎，阻塞鼻竇的開口，因此感染而蓄積膿液，就出現鼻竇炎。,['頭痛．鼻塞．發燒．流黃鼻涕．咳嗽．鼻涕倒流'],戒菸也拒吸二手菸。
,,,,,,
鼻中膈彎曲  ,Nasoseptal deviation,耳鼻喉科,鼻,鼻中膈是鼻腔的隔板，鼻中膈彎曲是指鼻中膈偏離中間位置，造成鼻腔不適的狀況。,['鼻塞．流鼻血．流鼻涕．頭痛'],預防及避免鼻子外傷。
,,,,,,
睡眠呼吸中止症  ,Sleep Apnea,"耳鼻喉科,神經科,身心精神科,呼吸胸腔科",鼻,睡眠呼吸中止症是指在睡眠當中，上呼吸道重複地發生阻塞，使口鼻的呼吸氣流減少或停止10秒鐘以上，有時會缺氧或在睡夢中驚醒。若一個小時中止5至10次為輕度、15至30次為中度，30次以上則為重度睡眠呼吸中止症。,['打呼．打鼾．嗜睡．精神不濟'],睡前不要做激烈活動，不要看書及電視。
,,,,,,
腮腺炎  ,epidemic parotitis,耳鼻喉科,臉,腮腺炎由急性濾過性病毒引起，因病毒侵襲腮腺，造成腮腺或唾液腺腫大且疼痛，致使臉頰發炎腫大，因此又被稱為「豬頭皮」。,['臉部疼痛．臉部腫脹．頭痛．發燒．噁心．畏寒．喉嚨痛．腮腺腫大'],養成個人良好衛生習慣，保持雙手清潔。
,,,,,,
扁桃腺炎  ,tonsillitis,"耳鼻喉科,小兒科",咽喉,扁桃腺炎是指扁桃腺及其淋巴組織被病菌或病毒入侵後，產生發炎的症狀，可分成急性扁桃腺炎與慢性扁桃腺炎。,['發燒．喉嚨痛．食欲不振．咳嗽．流鼻水．扁桃腺腫大．顎下淋巴結腫大．畏寒．頭痛'],每日至少須攝取2000至2500㏄的水份。
,,,,,,
牙周病   ,Periodontal disease,牙科,"牙齒,牙周組織",牙周病是指發生在牙齒周圍組織的疾病，主要包括牙齦炎、牙周炎及其他，是國人常見的口腔疾病。主因是牙菌斑並未確實清潔乾淨，堆積在牙齒上逐漸引發慢性牙周病。牙周病初期可能有牙齦紅腫、刷牙時流血的情形，因無明顯疼痛症狀，容易被患者忽略，病程到嚴重階段而成牙周炎時，會造成牙齦萎縮、牙齒搖動、牙齒脫落等症狀，故須盡早就診接受檢查。重度骨頭流失的牙周炎治療後也無法恢復原狀，只能修護已被破壞的組織，避免繼續惡化。除了口腔健康外，牙周病亦被證實與心肌梗塞、動脈粥狀硬化、腦中風等疾病的發生可能有關。,['口臭．牙齦萎縮．牙齦出血．牙齦紅腫．牙齒搖動．牙齒脫落．牙齒外觀變長．牙齒位置偏移．咬合無力．咀嚼無力．牙縫變大．牙根暴露．吃冷、熱食敏感'],養成良好口腔衛生習慣，每天徹底清潔牙齒，吃完食物後立即漱口、刷牙。
,,,,,,
牙髓炎  ,Pulpitis,牙科,牙髓,牙髓炎是指牙髓受到侵犯而發炎，多為細菌感染所引起，發生位置為牙髓腔與齒槽骨，須盡快接受牙科根管治療，否則壞死的牙髓可能引發臉部蜂窩性組織炎、菌血症甚至敗血症等嚴重疾病。牙髓炎患者就算不遇冷熱源或甜食，也會感到牙齒疼痛，甚至劇痛到無法正常進食，進而影響到睡眠品質。牙髓炎通常是因為蛀牙太深、牙髓受到長期刺激或受到外力撞擊，導致細菌侵入牙髓而發生。,['劇烈牙痛．牙齒抽痛．牙齒酸痛．吃冷熱食敏感．刷牙敏感．吃酸、甜食物敏感．牙齦紅腫．臉部腫脹．發燒．發冷．夜間睡眠時的自發性牙痛'],養成良好口腔衛生習慣，每天徹底清潔牙齒，吃完食物後最好立即刷牙，並使用牙線或牙間刷清潔齒縫。
,,,,,,
牙齦炎  ,gingivitis,牙科,"牙齦,牙肉",牙齦炎是指牙齦感染發炎，初期患者不容易察覺，待炎症加重後，牙齦會產生紅腫脹痛等症狀，患者在刷牙或使用牙線時，會有出血情形。嚴重的牙齦炎會損壞牙齒周圍骨骼，進展為牙周炎，造成牙齒鬆動，最後脫落。牙齦炎的成因包括牙菌斑堆積、營養不良或藥物副作用引起等。此外，吸菸者、糖尿病患者和孕婦為好發族群。牙齦炎是牙周病最早期的階段，亦與心血管疾病、糖尿病等全身性疾病的發生有關，故患者應及早接受治療。,['牙齦紅腫．牙齦出血．牙齦脹痛．牙齒鬆脫．發燒．口臭．臉部腫脹．若不經治療，會惡化成牙周炎，使牙周骨破壞，造成牙齦萎縮'],養成良好口腔衛生習慣，每天徹底清潔牙齒，吃完食物後立即漱口、刷牙。
,,,,,,
顳顎關節障礙症  ,"Temporo-mandibular joint disorder,TMJ disorders,TMD","牙科,骨科,身心精神科,復健科,外科",顳顎關節（下巴關節）,顳顎關節障礙症是一種現代人常見的疾病。顳顎關節俗稱下巴關節，掌控人類嘴巴的開閉功能，當其中間的一層關節盤因為長期移位導致軟骨磨損，或因外傷撞擊、過度咀嚼、精神壓力等因素引發咀嚼疼痛和功能異常時，就稱為顳顎關節障礙。復發機率高，常見於生活壓力大、個性易緊張、咬合不良等人的身上。症狀包含張口閉口會發出關節聲響、張嘴困難、頸部肌肉痠痛，以及頭痛、耳內痛等衍生症狀。常用的治療方法有藥物治療、咬合板治療、物理治療及手術治療等。,['張口疼痛．嘴開閉時有異聲．咀嚼疼痛．開口困難．張口中線偏斜．臉部肌肉痠痛．肩頸酸痛．下巴脫臼．頭痛．耳鳴．耳內疼痛．發音障礙'],培養樂觀的態度，保持良好的心情，減輕工作壓力，尋找適當抒發情緒的方式。
,,,,,,
植體周圍炎  ,Peri-implantitis,牙科,"牙齒,口腔",植體周圍炎指的是人工牙根周圍，其軟、硬組織發炎破壞的一種病症，屬於植牙後可能出現的併發症之一。在人工牙根開始有功能後就有可能發生，發生率約一至二成。人工牙根材質多為鈦金屬，具良好的生物相容性，安置在病人的齒槽骨內可自然產生骨整合，穩固支撐上方假牙。但術後如果疏於清潔和保養，使牙菌斑長期堆積附著在植體表面，植體周圍就會開始發炎，引起一系列的臨床症狀：紅腫、化膿、流血。當發炎變化還局限在周圍軟組織，此時稱為植體周黏膜炎（pen-implant mucositis）為可逆性，治療可選合併清創與抗生素用藥，如已破壞到硬組織，齒槽骨萎縮就需再動手術徹底清創或補骨，最嚴重時甚至植體鬆動，幾乎脫落，必須全部移除，還可能感染鄰近的健康牙齒，故須擴大重建範圍。植牙後落實定期回診追蹤很重要，才能早期發現早期處理。,['植體區發炎．牙肉紅腫疼痛．刷牙流血．化膿．植體搖晃．齒槽骨萎縮．植體脫落'],確實做好牙齒及人工牙根的清潔衛生，如餐後睡前刷牙、隨時使用牙線或牙間刷等。
,,,,,,
結膜下出血  ,Subconjunctival hemorrhage,眼科,眼結膜,結膜下出血是眼睛結膜下的微血管叢破裂並造成出血。由於結膜下出血的位置在眼球的表面，很容易發現，其臨床表徵就是在眼白的位置突然出現一片血紅，讓人怵目驚心。一般沒有什麼症狀，發生時病患通常毫無知覺，僅少數會感到一陣輕微的刺痛，之後才發現眼白部份一片血紅，但視力不會因此受影響。 一般而言，結膜下出血並不需要治療，它會在1、2周內自行吸收，不會留下任何後遺症。可以考慮局部冰敷緩解不適，但如果結膜下出血反覆發作，則要考慮是否有高血壓、糖尿病及血液等疾病。,['眼睛輕微刺痛．眼白血紅'],避免眼球意外碰撞。
,,,,,,
大腸癌  ,Colorectal cancer,"血液腫瘤科,胃腸肝膽科,大腸直腸科",大腸,大腸屬下消化道，分為結腸與直腸。有時大腸內壁細胞會有不正常生長，出現息肉、潰瘍或其他形態腫塊，但這些大部份為良性腫瘤，唯也有小部份可能發展成為惡性腫瘤，稱為大腸癌。,['下消化道出血．排便習慣改變．便秘．大便解不乾淨感．大便變細．大便有黏液．腹痛．腹部腫塊．貧血．血便'],應增加腸道內的益菌，多吃蔬果增加纖維質攝取量，每天至少吃7種蔬果，男性每天應吃9份蔬果。少吃紅肉與加工食品，避免食用高溫燒烤的食物，平常也應多吃富含礦物質、蛋白質的「黑五類」食物，例如：黑豆、黑糖、黑木耳、黑糯米、黑芝麻等。晚餐盡量不要吃太飽，避免食物未消化在腸胃中堆積、發酵。
,,,,,,
心臟病  ,heart disease,心臟血管科,心臟,心臟病，泛指心臟或心血管系統在結構或功能上失常而引起的健康問題。心臟是人體維持運作最重要的器官，健康的人每天心跳約十萬次，會打出8000公升以上的血液流經全身各處。一旦心臟功能受損、心跳停止，腦細胞、心肌在數十分鐘之內會缺氧，使人失去知覺而昏迷休克，若休克超過十餘分鐘無法救回，人將死亡。心臟病可分為先天性心臟病、風濕性心臟病、高血壓性心臟病和冠狀動脈心臟病、瓣膜性心臟病、肺源性心臟病，以冠狀動脈心臟病最常見。冠狀動脈心臟病主因動脈硬化阻塞造成，現代人高脂、高膽固醇的飲食習慣，很容易造成血管硬化，在許多先進國家，心血管疾病都名列死亡原因前幾位；在台灣，心血管疾病也長年高居十大死因前三名。,['胸痛．心悸．氣喘．呼吸困難．疲倦．頭暈．昏厥．水腫．活動量下降．咳血．腹痛．發紺．盜汗．左肩疼痛．背痛．咳嗽'],控制心血管疾病危險因子，包括血壓、血糖、血脂、膽固醇的監控。
,,,,,,
肺栓塞  ,"Pulmonary Embolism,PE","心臟血管科,呼吸胸腔科,血液腫瘤科",肺臟,肺栓塞是指由心臟通往肺部之肺動脈的血流被血管內的血塊、脂肪或空氣塊形成的栓子所阻塞，導致肺臟組織血液灌流不足，血中含氧量降低、肺部血壓提高的情形。因肺臟無法正常進行氣體交換，病患會感覺易喘及呼吸困難，病程後期可能引發胸痛的症狀。最常見的原因是下肢靜脈血液回流不暢，形成下肢深層靜脈血栓所引發的肺栓塞。若血塊較大，可能堵住整條肺動脈引發急性肺栓塞，導致心肺衰竭，休克猝死。,['肋膜性胸痛．呼吸困難．呼吸短促．水腫．發紺．心搏過快．咳嗽．咳血．發燒．昏厥．暈昡．頸靜脈怒張'],維持良好生活作息，養成運動習慣、控制體重。
,,,,,,
心肌梗塞  ,"Myocardial Infarction,MI","心臟血管科,呼吸胸腔科",心臟,心肌梗塞是由於心臟冠狀動脈突然阻塞，導致供給心肌血流中斷，心肌缺血缺氧而壞死。臨床表現上，持續性胸痛、盜汗和呼吸困難是典型的病徵，但約有一半以上的心肌梗塞患者，病發前沒有任何症狀。心肌梗塞患者在症狀和影響的程度上也有所不同，輕微者可能只感到胸悶，嚴重者則會造成心肌細胞永久性的損傷，引發如心律不整或心臟衰竭等併發症。急性心肌梗塞更是令人措手不及，患者通常在發病後1個小時內猝死，是一種死亡率相當高的急症。,['持續性胸痛．胸悶．盜汗．臉色蒼白．四肢冰冷．噁心．嘔吐．全身虛弱無力．暈眩．呼吸困難．休克'],飲食應採低脂低鹽，以清淡為主，並減少高膽固醇食物攝取。
,,,,,,
猝死  ,"Sudden Death, SD","心臟血管科,小兒科",心臟,猝死指的是各種非預期性的突然死亡，排除中毒、自殺或意外等因素，死者生前看起來或許很健康，各項檢查也正常，但體內可能潛藏進行式的疾病或其他危險因子，在突然受外在刺激而惡化，造成短時間內死亡。發病時限說法不一，有些認為症狀發生後二十四小時內死亡就稱為猝死，但多數定義是急性徵狀發作後一小時內就宣告不治。雖然猝死來得都很突然，不過在正式發作前，身體多少會透露一些警訊，諸如氣喘、呼吸急促、胸悶不適、感覺頭昏暈厥，也可能自覺心跳突然跳得很快很重、或跳得不順暢等。因此，當發現自己或旁人有這些先兆出現時，最好趕緊就醫檢查，或撥119求救。平日學會基本CPR（心肺復甦術）及AED（心臟電擊器）等急救術，也有助於提高猝死的搶救成功率。另外，發生在一歲以下嬰兒不明原因的死亡，又稱為嬰兒猝死症候群，常發生於嬰兒睡眠中。在已開發國家，是除了先天性畸形及早產外，嬰兒的第三大死因。,['全身倦怠．氣促．胸悶．心悸．心絞痛．頭暈．昏倒．休克．心跳驟停．呼吸停止．無脈搏．無血壓．無意識．瞳孔放大'],平日多關心自身健康狀況，定期做健康檢查，並留心是否曾發生胸悶、昏倒、氣促等前驅病症。
,,,,,,
高血壓  ,"Hypertension, H/T, HTN","心臟血管科,家醫科","心臟,血管",高血壓是指靜止狀態時所測得的血壓持續地高於或等於140（收縮壓）或90（舒張壓）mmHg。高血壓與國人十大死因中的腦血管疾病（第二名）、心臟病（第三名）及腎臟病（排名六至八名）密切相關。顧名思義，血壓是血液施於血管壁的壓力，心臟在收縮時血管壓力較高，測得的血壓稱為收縮壓，放鬆時壓力減小，稱為舒張壓。一般健康成人的收縮壓約在120、舒張壓約在80毫米汞柱之間，當收縮壓來到130-139、舒張壓來到85-89mmHg，就可能進入高血壓前期，屬病發之灰色地帶，需開始留意飲食與生活型態的調適，以預防血壓值繼續攀高。高血壓初期沒有明顯症狀，有些則有上述一些非特異性的症狀，患者很難自我察覺。臨床表現的症狀，通常是因為高血壓已持續好一段時間，傷害到心血管系統而引發，可能病徵有疲乏、頸部痠痛、頭昏、頭痛、失眠及心悸等。高血壓也會加速血管硬化，帶來諸多併發症，如心臟病、腦中風、視網膜病變及腎病等。高血壓患者若合併高膽固醇或高血脂症，發生心血管疾病的危險機率會增加一倍，如再加上吸菸，致病率更高。一兩次血壓測量值偏高，不代表一定就罹患高血壓，這可能是基於某些外在變因，如剛進行劇烈運動或情緒過於激動等，但假使在固定時間、不同天數的測量值，超過三次以上為血壓過高，則應盡速就醫查明，做進一步的控制。,['頭重．暈眩．頭痛．流鼻血．耳鳴．眼花．失眠．心悸．疲累．肩膀痠痛．無精打采．噁心．嘔吐．抽搐．昏迷'],養成定時定期測量血壓的習慣，並做記錄。
,,,,,,
低血壓  ,Hypotension,"心臟血管科,家醫科","心臟,血管",低血壓是一種血壓過低的疾病，比起高血壓更難以被察覺，因為高血壓所引起的併發症如心臟病等，其嚴重性較引人關注，但低血壓也是許多危險疾病的共通徵兆，同樣需要重視。通常成人理想的血壓，收縮壓應在120、舒張壓應在80 mmHg左右，如果收縮壓低於90、舒張壓低於60mmHg，就算是低血壓。低血壓的種類可細分為體質性與器質性。不少疾病會讓體內血壓偏低，例如心臟病、糖尿病、低血糖症、過敏反應、感染等，器質性低血壓便是由這些疾病所引發。其他非疾病所造成的低血壓屬體質性低血壓，通常是暫時性的，包括姿勢性低血壓，因姿勢突然變化而引起，如從坐或躺改為站立；另一種神經迷走性低血壓，常見於年輕人，是在久站之後導致血壓過低和心跳緩慢，引起的低血壓症狀。一般來說，低血壓的臨床表現並不明顯，多數人可能感到全身無力、疲倦、嗜睡、做什麼都提不起勁等，像是慢性疲勞症候群的病徵。少部分嚴重低血壓者，因流入大腦的血液不足，或者心臟需要多次做工將血液送出，所以會出現頭暈眼花、心悸等症狀。然而，長期血壓偏低所帶來的併發問題卻不少，如情緒低落和憂鬱。大腦經常處於供血不足的狀態，也容易讓注意力不易集中，記憶力減退、思考變慢，增加罹患失智症、阿茲海默症的機率。,['易疲倦．全身乏力．昏沉嗜睡．暈眩．耳鳴．視力模糊．注意力不集中．四肢冰冷．冒冷汗．心悸．胸悶．食慾不振．貧血．腹鳴．便祕．下痢．腸積氣．腹部鼓脹．打嗝．意識不清．腳腫．昏厥．休克'],作息要規律，充分休息與睡眠。勞累會使血壓變低，因此一定要避免熬夜和過勞。睡覺時可多墊幾個枕頭，抬高頭部，幫助減輕低血壓症狀。
,,,,,,
先天性心臟病  ,"Congenital Heart Disease, CHD","心臟血管科,小兒科",心臟,先天性心臟病是胎兒還在母體時，心臟發育不良而引起的先天性疾病。在懷孕初期約三到八週時，胎兒的心臟會從幾個細胞生長成的血管，慢慢分化為左右心房與心室、上下腔靜脈、肺動脈、主動脈及肺脈等構造，在腔室之間還會形成瓣膜，這個過程如果受某些特殊的外在或內在因素影響，阻礙到心臟正常發育，就會導致心臟先天畸形。按照臨床症狀之不同，先天性心臟病又可分為發紺型心臟病、非發紺型心臟病及阻塞型心臟病三大類。其中，發紺型心臟病主要症狀是病童身上出現發黑、發紫或缺氧的現象，原因是血液中含氧量過低，最有名的是法洛氏四合症，其他像是單一心室、右心室雙出口、大血管轉位、肺靜脈迴流異常、三尖瓣或肺動脈瓣閉鎖等，也都屬於發紺型心臟病。非發紺型心臟病則是在心臟或大血管之間出現由左到右的分流，包括心房中膈缺損、心室中膈缺損、開放性動脈導管等，最後易發展為心臟衰竭。至於阻塞性心臟病則包括了主動脈狹窄與主動脈窄縮、肺動脈狹窄等。有些先天性心臟病患者得以在五歲前自癒，但絕大多數需要動外科手術，例如心導管治療術、氣球導管心房中膈造口術、開心手術等，另有內科治療，針對不同的病情投以藥物、限制鹽分和水分，或補充鐵劑和綜合維他命等。,['易流手汗．焦慮．緊張．頭痛．臉色蒼白．呼吸困難．呼吸急促．嘴唇發紫．四肢發紺．四肢浮腫．心悸．心跳快．心臟雜音．發育遲緩．體力差．易疲倦．胸痛．暈厥'],懷孕初期胎兒心臟仍在成形階段，應注意避免缺乏微量元素、營養不良、營養過度、過度補充維生素等問題，最好按照醫師的指示再做補充及調整。
,,,,,,
